Name,Year,IMDb Rating,Genre,Director,Duration (mins),Language,Box Office (Millions),Production Company,Lead Actor,Lead Actress,Country,Number of Votes,Budget (Millions),Is Sequel
Commercial son citizen bed,2021,2.3,Fantasy,Zachary Evans,109,German,112.8,"Forbes, Robertson and Palmer",Brian Turner,Shannon Franklin,Greece,374180,168.53,False
Some specific,1987,4.2,Thriller,Benjamin Holt,138,Hindi,484.53,Moore-Lee,Leah Rivera,Ryan Wilkerson,Cyprus,249628,79.63,False
Now challenge lot,2007,6.4,Animation,Aaron Howard,150,Mandarin,710.93,"Wilkinson, Garrett and Brown",Joel Higgins,Randy Cox,Guernsey,746962,43.28,True
This,1979,3.4,Drama,Jeremy Bruce,135,German,449.36,"Frazier, Hutchinson and Smith",Timothy Bell,Valerie Thompson,Libyan Arab Jamahiriya,954317,72.8,False
Impact stage,2000,3.8,Action,Charles Coleman,147,Japanese,259.72,Carlson-Ford,Ashley Waters,Edward Jones,Bhutan,614646,236.07,True
Win social Congress,1979,6.0,Comedy,Michael Bauer,119,Spanish,791.51,"Pennington, Costa and Hogan",Joshua Gordon,Tammie Chen,Montserrat,931022,63.55,False
But a most theory,2019,2.9,Fantasy,Bridget Perez,148,German,876.43,Crawford PLC,Susan Lawrence,Renee Davis,Malta,241215,209.94,True
Good professional a,1983,3.7,Animation,Thomas Smith,130,German,413.27,Rose Group,Shane Smith,Cynthia Walker,Brunei Darussalam,303112,206.49,True
First magazine home,1971,9.6,Comedy,Alicia Thomas,143,Mandarin,422.85,"Walls, Reyes and Briggs",Chris Woods,Brandon Stephens,Israel,539828,69.66,False
Government church road,1991,7.1,Sci-Fi,Tracy Hamilton,106,German,496.64,"Michael, Anderson and Perez",Valerie Sanchez,Michelle Clark,Saint Lucia,705969,144.94,False
Sure challenge,1976,9.6,Romance,Cheryl Keller,142,French,862.7,Franklin Inc,Christy Grant,Rachel Owen,Madagascar,345832,55.16,False
Security science,2011,7.6,Sci-Fi,Carl Reyes,168,Spanish,172.24,"Reed, Coleman and Phillips",Andrew Smith,Janice Walsh,Norway,562677,153.99,False
Use,2021,6.2,Comedy,Margaret Walker,128,Korean,133.18,Norton-Decker,Mary Bell MD,Mitchell Hanson,Bangladesh,635583,201.69,True
Nor with,1970,3.3,Thriller,Tracy Freeman,87,Hindi,863.77,"Jones, Webb and Shaffer",Kimberly Daniels,Peter Lloyd,Reunion,523831,15.55,False
Green teacher,1972,8.0,Animation,Cory Smith,84,Spanish,617.24,Anderson-Carlson,Anthony Obrien,Isabel Henry,Mongolia,288112,109.61,False
Represent according,1982,1.7,Sci-Fi,Emily Doyle,139,English,37.55,"Jordan, Tapia and Watson",Susan Robinson,Manuel Wood,Hungary,451857,38.28,True
Their,1975,2.7,Animation,Andrea Smith,149,English,713.55,Hamilton-Stevenson,Johnny Montoya,Amanda Chen,Lesotho,294323,236.8,True
Now however body speech,2004,4.5,Drama,Renee Williams,166,Korean,216.6,Thompson LLC,Whitney Williams,Cathy Wright,Angola,429894,258.34,True
Week bad,2001,8.1,Horror,Rachel Mueller,173,Korean,852.34,"Dudley, Murray and Knapp",Keith Cruz,Tammy Gonzalez,Guadeloupe,451664,68.08,False
Through purpose structure,2022,9.4,Drama,Brian Stone,145,Japanese,300.91,Baker-Shaw,Joe Phillips,Emily Massey,Congo,337612,13.39,False
Before son similar,1990,6.6,Action,Angel Montgomery,122,Korean,40.91,Rubio Inc,Angela Ramsey,Sylvia Johnson,Armenia,192307,285.63,False
Risk pay face,1983,9.3,Horror,Cindy Davis,96,Korean,300.91,Velez Inc,Joyce Bailey,Victoria Johnson PhD,Serbia,191584,53.84,True
Usually sit voice feel,2004,9.2,Mystery,Hannah Carpenter,145,Hindi,901.49,"Chavez, Porter and Mason",Mariah Sanders,Phillip Lewis,Korea,26550,50.81,True
They write,1978,6.0,Sci-Fi,Dennis Potter,148,German,86.58,Ramos Ltd,Denise Dougherty,Mr. Jeff Alvarez,Haiti,520582,282.13,False
Practice issue agreement,2016,7.8,Thriller,Virginia Johnson,160,French,143.24,Herring Inc,Justin Gonzalez,James Edwards,Guatemala,322459,1.08,False
Those another,1987,6.7,Drama,Angela Silva,131,Japanese,18.18,"Myers, Herrera and Campos",Brooke Davis,Eric Garcia,Israel,82987,276.94,False
Class next almost,2012,7.4,Thriller,Gregory Woodard,155,Hindi,706.98,Trevino Ltd,Anthony Richardson,Erica Wood,Northern Mariana Islands,537911,191.59,True
Its meeting lead,2015,9.7,Horror,Chad Johnson,127,Hindi,330.54,Edwards-Horton,Breanna Morrison,Matthew Morris,Armenia,436444,194.07,True
Attack share probably,1973,9.9,Sci-Fi,Robert Lee PhD,82,Japanese,870.17,Walker-Barton,Angela Church,Michael Gaines,New Zealand,46549,74.03,False
Factor religious,2014,6.2,Comedy,Emily Doyle,171,Japanese,397.39,"Mckenzie, Reyes and Beard",Jordan Strickland,Roy Snow,Comoros,448006,151.21,False
Gas land yet impact,2002,9.5,Action,Charles Conrad,137,German,888.79,"Owen, Aguirre and Scott",Clarence Lee,Lisa Rivas,Aruba,622226,152.27,False
Set evening,2002,8.5,Animation,Gregory Woodard,108,Japanese,209.42,"Wall, Washington and Hoover",April Ibarra,Lori Lopez,Saint Kitts and Nevis,673432,134.36,False
Answer want talk,2022,7.1,Drama,Audrey Graham,146,German,449.94,"Harris, Harris and Stewart",Michael Casey,Tyler Bell,Saudi Arabia,100227,59.56,True
Society game unit,1976,9.7,Sci-Fi,Mark Newman,169,Japanese,170.31,Vasquez-Mcguire,Sarah Alexander,Charles Ballard,Holy See (Vatican City State),414621,175.78,True
Feel growth thousand,2021,8.8,Thriller,Donald Stephens,149,French,729.62,Perez-Reyes,Jason Coffey,Jessica Harvey,Belize,443658,87.23,True
Note young best,2015,3.5,Animation,Martha Alvarez,87,English,709.61,Smith PLC,Stephanie Galvan,Mr. David Burns,Slovenia,19086,26.12,False
Citizen,2001,4.5,Animation,Elizabeth Andrews,176,Hindi,675.1,"Terry, White and Woods",Richard Tucker,Linda Maldonado,Liberia,665703,211.21,True
During little,2003,1.5,Fantasy,William Smith,118,Korean,34.37,Espinoza-Sanders,Joshua Mcintyre,Corey Wright,Libyan Arab Jamahiriya,500298,168.53,True
Environmental second,1985,4.8,Animation,Mark Powers,129,Spanish,108.03,Herrera-Wilson,Jessica Evans,Ashley Davis,Ireland,913064,95.86,True
Seven authority attack skill,2022,5.2,Sci-Fi,Andrea Smith,141,Korean,774.09,"Carter, Sosa and Smith",Sherry Jacobs,Brenda Orozco,Jamaica,682657,174.34,False
Structure field,1971,7.3,Action,Christian Hayes,148,Japanese,262.34,Torres-Larsen,Melanie Baker,Alyssa Anderson,Armenia,155221,283.42,False
Blood future,2004,8.9,Sci-Fi,Grant Quinn,129,Japanese,682.75,Zuniga Inc,Molly Sullivan,Daniel Wallace,Algeria,104919,98.86,True
Seven paper,1980,3.0,Animation,Brian Coleman,103,Mandarin,806.57,Thomas-Lopez,Michael Hancock,Michael Wilcox,Niue,616728,144.08,False
Single write table but,1972,7.6,Fantasy,Nicole Woods,167,Hindi,336.78,Bailey Ltd,David Young,Tanya Brown,Greenland,262532,187.16,True
Treatment then,2011,4.9,Fantasy,Gregory Woodard,145,Mandarin,54.16,"Collins, Schroeder and Harrison",Zoe Rodriguez,Brian Fry,France,402518,125.58,False
Around without learn,1987,7.4,Romance,Brian Stone,140,Hindi,681.28,Miller-Holden,Andrew Martin,Allen Marshall,Aruba,816995,248.7,True
Alone treatment teach,2024,1.3,Mystery,Wayne Melendez,126,Spanish,227.26,Lawson Ltd,David Whitaker,Gloria Mueller,Italy,391392,259.13,True
Cell never Mr,2013,9.6,Fantasy,Sarah Duncan,142,French,301.53,Lee and Sons,Andrew Roach,Tyrone Wiley,Solomon Islands,156238,170.44,True
Beyond choice drive,1997,7.0,Sci-Fi,Jason Molina,147,Korean,392.36,Hubbard-Powell,Katie Conner,Jeremy Duarte,Romania,740920,1.05,False
Senior collection truth,1988,5.4,Drama,Allison Miller,131,Hindi,846.57,Owens LLC,Brian Barr,Mark Fischer,Bolivia,391876,227.69,False
Into usually court,1983,4.5,Comedy,David Ashley,171,Spanish,613.9,Sparks-Edwards,Mary Trevino,John Edwards,Jamaica,120752,299.0,False
Behind whole president Democrat,2011,9.3,Animation,Stanley Morris,168,Mandarin,373.6,Allison LLC,Danielle Murphy,Mark Robbins,Gambia,442683,155.44,True
Officer,2023,3.8,Thriller,Nathaniel Owens,123,English,189.24,"Horton, Olson and Donaldson",Roger Guzman,Renee Hoover,Burkina Faso,480964,64.02,True
Fill song free,2012,7.7,Action,Joshua Ramos,142,Mandarin,305.52,"Thomas, Miller and Perez",Andrew Walsh,Brenda Garcia,Cambodia,583619,21.75,False
Send main,2010,2.5,Romance,Darren Terry,127,Hindi,195.7,Hammond-Wiley,Andrea Hoffman,Christina Small,Kenya,101609,98.51,False
Nation talk,1971,6.3,Drama,Shawn Barnes,122,Japanese,169.62,Mills Group,Michael Smith,Jason Ochoa,Finland,633120,262.06,True
Dream cut ground,2008,7.3,Mystery,Dale Moore,114,Mandarin,116.13,"Vargas, Colon and Ortiz",Shane Combs,Teresa Freeman,Belize,479756,115.12,True
Story trip,1984,8.9,Action,Monique Herring,106,Spanish,535.82,"Brown, Villarreal and Torres",Jasmine Cervantes,Donna Mercado,Timor-Leste,56917,295.19,False
Check sit special,2004,3.5,Animation,Shawn Barnes,87,German,592.32,"Duncan, Parsons and Garcia",Stephanie Aguirre,Lindsay Ballard,Lao People's Democratic Republic,563368,181.49,True
Also design,2009,4.4,Drama,Denise Vargas,138,French,867.92,Horne PLC,Julie Shelton,Tanner Perez,French Guiana,851363,213.72,True
Reason million,2002,2.3,Sci-Fi,Joseph Ramirez,174,German,33.88,Reed Ltd,Judy Stevens,Miguel Castillo,Western Sahara,342028,277.8,True
Very,1978,2.5,Horror,Stephanie Brennan DVM,159,French,567.6,"Brooks, Nelson and Black",Alexis Dixon,Mary Trujillo,Saint Martin,633653,18.04,False
Task top statement community,1972,9.3,Drama,Dylan Torres,93,English,316.51,Preston Group,Susan Garcia,Michael Cuevas,Macao,642264,97.06,True
Visit attack box,2024,2.1,Fantasy,Robert Cook,93,English,432.11,"Thompson, Russell and Reed",Shannon Thompson,Stephen Kennedy,Niue,339196,98.03,False
Doctor four,1997,6.3,Sci-Fi,Carrie Moreno,147,Hindi,780.24,"Brown, Little and Mendez",Jacob Davis,Matthew Kelly,Slovenia,115794,227.62,True
Rest college director,2020,7.5,Action,Andrea Smith,174,Spanish,564.28,"Compton, Lewis and Jones",Melissa Lopez,Ashley Doyle,Brazil,760786,45.16,True
Increase,1987,1.7,Thriller,Joseph Ramirez,87,Hindi,584.22,Bennett-Rodriguez,Christopher Ramirez,Bridget Vaughan,Western Sahara,364815,224.13,True
She policy any,1978,4.7,Comedy,Tina Simon,90,Mandarin,306.32,Gonzalez and Sons,Amanda Nelson,Eric Jennings,Japan,791750,185.51,False
Certainly effort,1997,2.9,Drama,Ryan Alvarez,164,Mandarin,36.69,Hardy-Baker,Jeffrey Huffman,Susan Lee,Isle of Man,343679,208.48,True
Even mission,2005,7.6,Horror,Nicole Woods,95,Spanish,343.52,"Cook, Harris and Willis",David Richards,Susan Scott,Iraq,519642,119.29,True
Oil surface,2024,6.0,Drama,Michael Smith,164,German,843.8,Bentley-Brown,Logan Barr,Christopher Le,Angola,550497,119.46,True
Travel power,1996,2.8,Action,Dylan Torres,99,Spanish,277.62,Cabrera PLC,Stephanie Roberts,Brian Hudson,Maldives,478150,44.72,True
Pick word body,1989,5.8,Comedy,Wayne Melendez,166,Korean,488.54,Lindsey PLC,Matthew Vaughan,Erin Johnson,Norfolk Island,786821,220.4,True
Window subject range,2022,3.5,Fantasy,Erica Randall,154,Spanish,991.65,Brennan-Walsh,Kathy Evans,Danielle Martin,Tokelau,275572,69.38,False
Main son off,1998,1.5,Animation,Jennifer May,170,Korean,773.69,"Jimenez, Park and Torres",Erica Sanford,Victoria Brown,Mali,857979,235.94,False
Room suffer,2001,4.9,Animation,Natalie Cunningham,80,Mandarin,819.2,Chen-Harrell,Kimberly Brown,Rebecca Anderson,Swaziland,678054,260.46,False
Bit state article,2017,2.8,Sci-Fi,Michelle Brown,115,Mandarin,4.18,Vincent Group,Tyler Martinez,Courtney Ayala,Russian Federation,176693,275.98,True
Never morning nothing,2007,7.2,Mystery,Paul Martinez,101,Korean,370.76,Wade Group,Mary Garcia,Nicholas Tate,Luxembourg,104911,238.12,True
Commercial we,2000,3.3,Drama,Tricia Cook,139,Hindi,806.91,Bray and Sons,Carrie Barnes,Veronica Taylor,Haiti,747078,87.5,True
Firm poor,1983,2.9,Sci-Fi,Matthew Underwood,89,English,857.73,Ewing-Parker,Jennifer Henderson,Brent Green,Cayman Islands,232525,76.15,False
Environmental president,1987,3.6,Comedy,Michael Hill,140,German,778.63,Tucker-Bender,Donna Hayes,Jessica Bell,Tajikistan,547150,133.92,False
Side president,1998,3.9,Romance,Tricia Cook,95,Korean,269.59,Anderson Ltd,Mark Luna,Teresa Young,Guernsey,939352,75.45,False
Sign nor eye,1985,7.1,Romance,Abigail Silva,170,Mandarin,478.0,Rivas-Cardenas,Latasha Schwartz,Douglas Smith,Lao People's Democratic Republic,610803,149.65,True
Sure both,1970,5.2,Drama,Gregory Woodard,83,Korean,756.85,Rogers-Davis,Charles Rivers,Michael Vega,United States Virgin Islands,905926,15.44,False
Describe,2013,7.4,Action,Adam Hodge,100,Korean,684.34,"Patel, Williams and Santiago",Dwayne Thomas,James Martin,Belize,742504,225.03,False
Dark indeed treat,2013,2.1,Sci-Fi,Anna Brown,109,Mandarin,259.32,Moreno PLC,Kayla Davila,Alexandra Phillips,Botswana,772144,237.69,False
Have its,1980,1.4,Sci-Fi,Joseph Russell,102,English,65.51,Bruce Group,Barbara Baker,Danielle Aguilar,Spain,97583,90.11,False
Hotel,2010,1.8,Romance,Linda Adkins,133,Mandarin,448.77,Fuller LLC,Jasmine Martinez,Andrew Bryant,Togo,810250,138.02,False
Office list management,1976,6.8,Drama,Michelle Brown,180,Japanese,64.92,Warner LLC,Christina Meyer,Matthew Martin,Niue,353896,197.9,False
Green agreement,2015,7.8,Action,Joshua Ramos,88,English,224.66,Nolan-Cook,Andrew Garrison,Matthew Duffy,Liechtenstein,548283,110.43,False
New,2008,8.8,Animation,Zachary Castro,158,Japanese,486.1,Martinez and Sons,Lisa Santana,Brittany Rogers,Austria,399831,146.97,True
Both only,2019,9.9,Drama,Daniel Walker,162,French,486.41,Monroe Ltd,Adrienne Snow,Anthony King,Mali,473457,174.74,True
Range,1982,2.9,Mystery,Darren Terry,179,English,592.67,Dickerson Group,Seth Rowe,Kelly Lang,Belgium,836703,46.15,False
Tree center leg,2000,5.0,Drama,David Sharp,133,Japanese,429.5,"Reeves, Williams and Douglas",Michael Serrano,Victoria Williams,Belize,218021,85.88,True
Involve scene product,2005,8.5,Thriller,Donald Stephens,113,Japanese,968.95,"Ali, Ray and Gray",Amy Hall,Kim Hanson,South Georgia and the South Sandwich Islands,777800,253.62,False
Talk purpose race west,1973,9.4,Horror,Charles Evans,100,Korean,910.92,Jackson-Carroll,Sarah Ramos,Wayne Coffey,Cambodia,102802,134.65,True
See development offer,1978,2.6,Animation,Christine Williams,82,Mandarin,709.66,Swanson Ltd,Steven Sanchez,Jennifer Vargas,Liberia,815342,62.81,True
Important all,1974,3.3,Romance,Charles Evans,176,Mandarin,49.04,Callahan-Montgomery,Tiffany Simpson,Christopher Martinez,Northern Mariana Islands,667758,264.9,True
Huge quite,2023,4.6,Thriller,Charles Harrington,91,French,835.15,Scott PLC,Paul Lewis MD,Crystal Howell,Kuwait,653607,153.26,True
Its owner,1974,4.6,Animation,Dennis Potter,123,Spanish,854.06,Perez-Hill,Brendan Ellis,Adrian Baird,Papua New Guinea,353359,45.02,True
Goal kind our,1984,4.7,Animation,Mr. Anthony Owen,148,French,854.28,"Garcia, Crawford and Hancock",Kenneth Hansen,Faith Campbell,Tonga,886345,253.43,False
